,State,Year,Type,Value
652,ME,2016,Rel_accident,7565.422222222222
653,DE,2016,Rel_accident,2691.55871886121
654,SD,2016,Rel_accident,77832.875
655,ND,2016,Rel_accident,185311.66666666666
656,WY,2016,Rel_accident,6102.869565217391
657,NH,2016,Rel_accident,3480.1079365079363
658,HI,2016,Rel_accident,
659,RI,2016,Rel_accident,534.5230660042583
660,AK,2016,Rel_accident,
661,VT,2016,Rel_accident,32568.823529411766
662,DC,2016,Rel_accident,1078.9229074889868
663,CA,2017,Rel_accident,175.30266844737739
664,TX,2017,Rel_accident,199.7866523344394
665,FL,2017,Rel_accident,248.3503772279511
666,GA,2017,Rel_accident,319.89234742422184
667,NC,2017,Rel_accident,216.64908525859036
668,OH,2017,Rel_accident,586.6802138254247
669,PA,2017,Rel_accident,333.2040512915815
670,IL,2017,Rel_accident,336.99739233504545
671,TN,2017,Rel_accident,488.1231732776618
672,MI,2017,Rel_accident,258.31948742218503
673,NY,2017,Rel_accident,329.4574433569459
674,SC,2017,Rel_accident,134.50612360145414
675,AZ,2017,Rel_accident,418.92821802254844
676,MO,2017,Rel_accident,578.7684809098295
677,AL,2017,Rel_accident,1361.7004132231405
678,IN,2017,Rel_accident,655.4748812437023
679,VA,2017,Rel_accident,285.70746757942436
680,KY,2017,Rel_accident,919.8683729433272
681,LA,2017,Rel_accident,280.0340063761955
682,OK,2017,Rel_accident,256.813793810207
683,MS,2017,Rel_accident,1980.6403085824493
684,CO,2017,Rel_accident,584.9596059113301
685,NJ,2017,Rel_accident,446.5884479092842
686,WI,2017,Rel_accident,1030.1126246655315
687,WA,2017,Rel_accident,311.8495431691626
688,MD,2017,Rel_accident,350.82270480512113
689,AR,2017,Rel_accident,18040.776119402984
690,KS,2017,Rel_accident,1168.6062176165804
691,OR,2017,Rel_accident,471.35093117408906
692,MN,2017,Rel_accident,325.3608395629672
693,NM,2017,Rel_accident,1292.3350877192981
694,MA,2017,Rel_accident,545.5644483749724
695,IA,2017,Rel_accident,744.9698275862069
696,NV,2017,Rel_accident,766.0962460063897
697,WV,2017,Rel_accident,1641.1228571428571
698,CT,2017,Rel_accident,383.71314150103825
699,UT,2017,Rel_accident,428.9288478073947
700,ID,2017,Rel_accident,3234.6929347826085
701,NE,2017,Rel_accident,226.4193132355312
702,MT,2017,Rel_accident,6069.616541353384
703,ME,2017,Rel_accident,1747.3824027072758
704,DE,2017,Rel_accident,864.7721661054994
705,SD,2017,Rel_accident,52375.5
706,ND,2017,Rel_accident,140416.75
707,WY,2017,Rel_accident,3772.0089285714284
708,NH,2017,Rel_accident,542.0550098231827
709,HI,2017,Rel_accident,
710,RI,2017,Rel_accident,262.8977312390925
711,AK,2017,Rel_accident,
712,VT,2017,Rel_accident,3614.4967741935484
713,DC,2017,Rel_accident,682.9043250327654
714,CA,2018,Rel_accident,172.33744215987457
715,TX,2018,Rel_accident,206.51737584858105
716,FL,2018,Rel_accident,233.63425609218467
717,GA,2018,Rel_accident,291.0333306268269
718,NC,2018,Rel_accident,133.4689666204543
719,PA,2018,Rel_accident,404.47008547008545
720,OH,2018,Rel_accident,454.8765502010306
721,TN,2018,Rel_accident,221.5587562311024
722,SC,2018,Rel_accident,68.2435324177579
723,IL,2018,Rel_accident,361.7896047824643
724,AZ,2018,Rel_accident,232.75654012155377
725,NY,2018,Rel_accident,320.4825229960578
726,MI,2018,Rel_accident,294.086125385406
727,AL,2018,Rel_accident,283.62106382978726
728,MO,2018,Rel_accident,486.39271485486626
729,VA,2018,Rel_accident,219.24457345708686
730,IN,2018,Rel_accident,334.7975634665888
731,LA,2018,Rel_accident,167.66691140479688
732,KY,2018,Rel_accident,381.35437625754525
733,OK,2018,Rel_accident,122.23023233112066
